"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_43_length_45358_cov_12.113900-37",0.00475405913528267,-1.91066840931777,0.607126583625114,-3.14706761464683,0.00164916820712033,0.247898013743389
"NODE_6667_length_6960_cov_12.571760-6",0.00559382300604087,-1.80777649124903,0.607789894289746,-2.97434443749936,0.00293615289998448,0.247898013743389
"NODE_215_length_28552_cov_11.534793-6",0.0067175394183075,-1.79462815696286,0.608486838124859,-2.94932945878216,0.00318464282530166,0.247898013743389
"NODE_1903_length_12166_cov_12.002725-4",0.00556530326050092,-1.7852824952895,0.607938893667409,-2.93661503464555,0.00331815728887802,0.247898013743389
"NODE_16705_length_4246_cov_10.855643-5",0.00528163875870312,-1.76178216529632,0.610600355190189,-2.88532777670521,0.00391006330825535,0.247898013743389
"NODE_2257_length_11405_cov_11.144846-10",0.00100975146246034,-1.63457182408477,0.609988474211364,-2.67967657290257,0.00736933251660535,0.317780203812222
"NODE_62_length_42827_cov_11.492355-14",0.00103714953907838,-1.61659240192695,0.610148704405493,-2.64950558815346,0.0080609639135678,0.317780203812222
"NODE_2257_length_11405_cov_11.144846-9",0.00103746340256524,-1.61638964809855,0.610150520073369,-2.64916540250458,0.00806908294518148,0.317780203812222
"NODE_7858_length_6391_cov_9.381944-3",0.00107319107367729,-1.59376562694539,0.610354356164048,-2.61121365129903,0.00902215089687697,0.317780203812222
"NODE_878_length_16679_cov_12.554860-3",0.00111005339999358,-1.57132638731651,0.610558973790046,-2.57358658994478,0.0100650457691983,0.319061950883587
"NODE_1607_length_13161_cov_12.259576-6",0.00116496600947738,-1.5394682669284,0.610853734874962,-2.52019129791115,0.0117291070568215,0.337699844613423
"NODE_272_length_25760_cov_10.913519-11",0.0185389823472389,-1.49381187693551,0.599986647473908,-2.48974186879796,0.0127835903323693,0.337699844613423
"NODE_589_length_19288_cov_11.667967-16",0.00129911686633101,-1.46954107367338,0.611531157493451,-2.40305184072181,0.0162588823452409,0.368434782031008
"NODE_8286_length_6228_cov_12.334035-1",0.0198974714668091,-1.43258790898399,0.601973416834082,-2.37981922277947,0.0173211331484438,0.368434782031008
