"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_2192_length_11538_cov_10.064530-10",8.40945380835727,0.852358649781501,0.366369917394234,2.32649737141032,0.0199920325352831,0.9298396979311
"NODE_111_length_35747_cov_7.302085-14",0.013917373457117,-1.1487032565338,0.50209288528007,-2.28783018085,0.0221474125118573,0.9298396979311
"NODE_425_length_21418_cov_9.272340-1",6.97382836524262,-0.868466583296832,0.391348256423587,-2.21916558727893,0.0264754613104448,0.9298396979311
"NODE_4_length_100293_cov_10.694068-38",0.00845945602566849,-1.0969905250873,0.502087239626219,-2.18486039578292,0.0288990841174697,0.9298396979311
"NODE_14_length_61801_cov_11.789735-44",4.4973831957077,-0.889963268866823,0.418069316148974,-2.12874572347159,0.0332753036805886,0.9298396979311
"NODE_225_length_28015_cov_9.304399-17",0.0159899789904742,-0.909035039124284,0.501759016471711,-1.81169647038228,0.0700331093168336,0.9298396979311
"NODE_29_length_50145_cov_9.630206-24",0.00810037285310244,-0.89123670826363,0.501567775187861,-1.77690185125992,0.0755843897565311,0.9298396979311
"NODE_679_length_18309_cov_7.534568-13",0.00482263324258048,-0.866830580206718,0.502092144028363,-1.72643724964904,0.0842687792568396,0.9298396979311
"NODE_464_length_20771_cov_8.431020-15",0.0239315360986374,-0.851035805396426,0.502074071984269,-1.69504033943241,0.0900677685955795,0.9298396979311
"NODE_68_length_41120_cov_8.230245-38",0.00312883918697429,-0.794344724273128,0.50196092877872,-1.58248317494707,0.113539310264428,0.9298396979311
"NODE_283_length_25394_cov_8.707447-33",4.30311695189173,0.678673889707057,0.430011377982204,1.57826960972913,0.114503684468605,0.9298396979311
"NODE_44_length_44876_cov_8.453359-13",0.00337101562898121,-0.762331017073077,0.501907431517915,-1.51886776166586,0.128795785223757,0.9298396979311
"NODE_2_length_138028_cov_8.748675-54",0.0590989795695976,-0.743329523616318,0.496914400012987,-1.49589048656447,0.134682195837903,0.9298396979311
"NODE_915_length_16373_cov_8.829452-15",0.0353132224259761,-0.74330842234978,0.501214512405983,-1.4830145655234,0.138070540940195,0.9298396979311
"NODE_51_length_43631_cov_8.504567-38",0.0495978817561811,-0.742288256001621,0.501489067845214,-1.48016836975344,0.138828319326316,0.9298396979311
"NODE_2198_length_11525_cov_9.424063-8",0.0516066904287505,-0.729104036074659,0.502084098890454,-1.45215520205856,0.146458455697035,0.9298396979311
"NODE_14_length_61801_cov_11.789735-34",0.0036582282922954,-0.728098695750949,0.501837086109685,-1.45086665753477,0.146816993936138,0.9298396979311
"NODE_12847_length_4956_cov_8.540910-3",0.0115946632690962,-0.723057453191403,0.501674544460131,-1.44128790502916,0.149503362840147,0.9298396979311
"NODE_340_length_23676_cov_8.630456-9",0.00463546417465706,-0.703966636350864,0.501520371701301,-1.40366508734791,0.160418603401948,0.9298396979311
"NODE_7323_length_6642_cov_9.232428-3",0.0279202886142993,-0.700893739163309,0.501515589241053,-1.39755125104681,0.162247866069998,0.9298396979311
"NODE_131_length_33753_cov_8.560686-10",0.00417887095299909,-0.674394410577435,0.50169526559556,-1.34423116346706,0.1788736472776,0.9298396979311
"NODE_1261_length_14464_cov_8.437782-8",0.00725761671672464,-0.674653029616125,0.502002603339473,-1.34392336838122,0.178973168514542,0.9298396979311
"NODE_2711_length_10612_cov_9.370560-1",0.0565479218677641,-0.663481973552884,0.495743204921481,-1.33835818013475,0.180779704517033,0.9298396979311
"NODE_5860_length_7410_cov_12.344528-4",0.0812228411790322,-0.654038793709633,0.491808789393806,-1.32986397928306,0.183563091382833,0.9298396979311
"NODE_915_length_16373_cov_8.829452-13",0.0713833766125532,-0.657770584346397,0.494733049674344,-1.32954647921616,0.183667742139706,0.9298396979311
"NODE_333_length_23774_cov_9.656604-6",0.0882472685229659,-0.643707027016971,0.488692222418779,-1.31720333880279,0.187770475063624,0.9298396979311
"NODE_30349_length_2933_cov_8.508339-5",0.0606708309056179,-0.646042845683203,0.496712628695766,-1.30063704516541,0.193382720504594,0.9298396979311
"NODE_1558_length_13327_cov_8.084237-10",0.0111575796797505,-0.651797499689036,0.501247890713085,-1.30034961097148,0.193481171719456,0.9298396979311
"NODE_282_length_25400_cov_10.107319-8",0.00447563542722662,-0.647691691351648,0.501608401213067,-1.29122975170531,0.196624021381832,0.9298396979311
"NODE_151_length_32109_cov_8.282929-4",0.0383673839109106,-0.645580452072778,0.50208386032393,-1.28580204043258,0.198512157948193,0.9298396979311
"NODE_17_length_60369_cov_9.713930-2",0.00504268065318299,-0.640614379846646,0.501410448544537,-1.27762471186267,0.201381782966414,0.9298396979311
"NODE_896_length_16518_cov_8.940776-15",0.0676024867974447,-0.626219289092132,0.495433859007818,-1.26398161471287,0.206236625983742,0.9298396979311
"NODE_51_length_43631_cov_8.504567-28",0.00468370266630293,-0.630380579553738,0.501545584451033,-1.25687594327786,0.208798560878285,0.9298396979311
"NODE_29_length_50145_cov_9.630206-35",0.0910304116926925,-0.610061257690989,0.486947769001599,-1.25282688724873,0.210268714319967,0.9298396979311
"NODE_70_length_40875_cov_8.775331-34",0.023080780869913,-0.627886797692419,0.502056925344001,-1.25062869566474,0.211069976190835,0.9298396979311
"NODE_5312_length_7771_cov_14.951529-12",10.4527469354756,-0.428775153990396,0.342967667591792,-1.25019118274651,0.211229716970858,0.9298396979311
"NODE_1508_length_13492_cov_9.454119-7",0.00524122323809162,-0.626643672133803,0.501346547486342,-1.24992118780049,0.211328338704168,0.9298396979311
"NODE_51_length_43631_cov_8.504567-47",0.0697007829198709,-0.611638183708826,0.494964162407238,-1.23572215962899,0.216561857645443,0.9298396979311
"NODE_211_length_28637_cov_8.564656-13",0.0901876105345493,-0.597534457608063,0.487425631588495,-1.2258987194841,0.220236790750709,0.9298396979311
"NODE_241_length_26956_cov_9.440021-15",0.00597590541164169,-0.613450878027443,0.501080611628493,-1.22425586580521,0.220855720375217,0.9298396979311
"NODE_52_length_43463_cov_8.435404-5",0.0193506687499998,-0.60646936644754,0.501504182409614,-1.2093007151677,0.226547336211891,0.9298396979311
"NODE_442_length_21144_cov_8.120821-8",0.00500674860443585,-0.60551716057557,0.501445645353188,-1.2075429634035,0.22722310967121,0.9298396979311
"NODE_51_length_43631_cov_8.504567-39",0.0449668214775601,-0.598949285257316,0.498588512484273,-1.20128978157355,0.229638812833818,0.9298396979311
"NODE_93_length_37908_cov_10.653634-23",0.817888682418769,-0.587105312624886,0.49047032846118,-1.19702513802801,0.231296756821944,0.9298396979311
"NODE_44_length_44876_cov_8.453359-40",0.0314957570060758,-0.595926550840101,0.499712659491204,-1.19253843087918,0.233050191097405,0.9298396979311
"NODE_6031_length_7308_cov_12.067283-1",0.00866971780018538,-0.597851838998949,0.501880764056012,-1.19122285972336,0.233566107700598,0.9298396979311
"NODE_2_length_138028_cov_8.748675-129",0.00512234805886491,-0.597158080933635,0.501409311441126,-1.19095929674164,0.233669564282843,0.9298396979311
"NODE_32_length_49141_cov_8.735322-2",0.0493118403198782,-0.587826936897547,0.498065281239995,-1.18022066391393,0.237912462507722,0.9298396979311
"NODE_211_length_28637_cov_8.564656-6",0.0605010265397344,-0.587334523690188,0.499556092943977,-1.17571286185084,0.239709637198621,0.9298396979311
"NODE_12_length_63004_cov_8.290664-57",0.0097175814403492,-0.584028175411421,0.499741003963873,-1.1686617083229,0.242539955363101,0.9298396979311
"NODE_359_length_23155_cov_8.990996-20",0.095734039731584,-0.578423025831631,0.498115898384085,-1.16122177129473,0.245551723198861,0.9298396979311
"NODE_52_length_43463_cov_8.435404-4",0.00691124725956355,-0.581477673427322,0.500754102850395,-1.16120401234345,0.245558943456552,0.9298396979311
"NODE_153_length_32009_cov_9.358766-21",0.00536121618241364,-0.580697326390602,0.501333490826977,-1.15830547333415,0.246739398573587,0.9298396979311
"NODE_51_length_43631_cov_8.504567-3",0.0264860496745279,-0.577212238780921,0.498352341301733,-1.15824125010269,0.246765598983684,0.9298396979311
"NODE_29_length_50145_cov_9.630206-13",0.051040885270462,-0.573565430203832,0.500789133554643,-1.14532323441728,0.252075284736597,0.9298396979311
"NODE_5457_length_7671_cov_8.415179-4",0.00711318527384168,-0.572477205505192,0.500686694619472,-1.14338409959203,0.252879151247744,0.9298396979311
"NODE_17_length_60369_cov_9.713930-55",0.120146749363417,-0.531244414324931,0.467171594706295,-1.13715050389337,0.25547537425336,0.9298396979311
"NODE_12_length_63004_cov_8.290664-28",0.00553953274031678,-0.569070310693172,0.501276365249468,-1.13524265284274,0.256273662818379,0.9298396979311
"NODE_7566_length_6528_cov_8.503013-4",0.00555890662827168,-0.567839050436331,0.501270136494341,-1.13280047841578,0.257298050513854,0.9298396979311
"NODE_51_length_43631_cov_8.504567-34",0.0789693164695335,-0.549984304460249,0.491143181484501,-1.11980441792533,0.262797116225586,0.9298396979311
"NODE_202_length_29134_cov_7.884659-23",0.0164514747109587,-0.561060908257031,0.501414217636914,-1.11895691929364,0.263158518379853,0.9298396979311
"NODE_374_length_22698_cov_8.815705-25",0.0201896163881248,-0.556825371753609,0.501542664088715,-1.11022533400093,0.266901938529429,0.9298396979311
"NODE_167_length_30826_cov_8.940333-11",0.00575286658224442,-0.555840170617864,0.501207581761002,-1.1090019202521,0.267429353598548,0.9298396979311
"NODE_497_length_20379_cov_8.480122-15",0.0577200698436769,-0.543132497990193,0.494705224854574,-1.09789116973619,0.272252014270055,0.9298396979311
"NODE_379_length_22525_cov_11.597552-23",0.00753255843035192,-0.539358339398988,0.500562641228899,-1.07750418224349,0.281255083366467,0.9298396979311
"NODE_1013_length_15701_cov_10.209447-3",0.00815598691068964,-0.531430134824176,0.500344188007096,-1.06212912543443,0.288177069505799,0.9298396979311
"NODE_10394_length_5547_cov_10.550801-2",0.0726456823646894,-0.522894390945928,0.492654700150667,-1.06138110686047,0.288516739484775,0.9298396979311
"NODE_9979_length_5667_cov_9.307021-7",0.0764620564019068,-0.520883160028002,0.491776548449176,-1.0591866604266,0.289514778945053,0.9298396979311
"NODE_114_length_35279_cov_9.677975-26",0.00620401947754946,-0.530045423226036,0.501061148997872,-1.05784578246813,0.290125756505242,0.9298396979311
"NODE_591_length_19263_cov_8.605789-1",0.0727653825336325,-0.520689691653011,0.49262930606002,-1.05696044723245,0.290529639148279,0.9298396979311
"NODE_21_length_54597_cov_8.678505-21",0.116513733886995,-0.496274028250492,0.470237239030894,-1.05536947535941,0.291256377706963,0.9298396979311
"NODE_51_length_43631_cov_8.504567-20",0.0176647376720312,-0.529047805636148,0.501629939815006,-1.05465755459344,0.291581970829938,0.9298396979311
"NODE_2823_length_10447_cov_8.380100-5",0.00625103812353814,-0.527512807531437,0.501045846852723,-1.05282343091947,0.292421924078938,0.9298396979311
"NODE_2730_length_10586_cov_10.496534-1",0.0913508899363565,-0.510477719703463,0.485939931648864,-1.05049551694865,0.293490351023845,0.9298396979311
"NODE_38_length_47307_cov_9.142618-42",0.0620230124566068,-0.514713912691729,0.494278433392299,-1.04134406423355,0.297715892887636,0.9298396979311
"NODE_686_length_18259_cov_8.207757-19",0.115536970416104,-0.499404952755171,0.480316044302501,-1.03974239186698,0.298459599889775,0.9298396979311
"NODE_2294_length_11343_cov_7.495393-3",0.0105546517345111,-0.517967764645092,0.501677335620129,-1.03247192541562,0.301851092891039,0.9298396979311
"NODE_8265_length_6239_cov_8.939521-2",0.0564359437938118,-0.510341017416615,0.494793839136571,-1.03142152761476,0.302343189893492,0.9298396979311
"NODE_4059_length_8811_cov_9.548652-7",0.0886118198003968,-0.501619297596074,0.487330797214839,-1.02931992080717,0.303329365286004,0.9298396979311
"NODE_14_length_61801_cov_11.789735-48",0.0758045134859741,-0.505921082769095,0.491941706628988,-1.0284167330229,0.303753840714248,0.9298396979311
"NODE_397_length_22043_cov_8.526333-14",0.0700691844189022,-0.506388963267873,0.493146096897739,-1.02685383997449,0.304489292814863,0.9298396979311
"NODE_442_length_21144_cov_8.120821-14",0.0502192347483725,-0.508288654356291,0.495185327203695,-1.02646146085667,0.304674120542973,0.9298396979311
"NODE_178_length_30313_cov_10.125289-1",0.788337177685717,-0.484437680462377,0.471956066961855,-1.02644655800458,0.304681141905843,0.9298396979311
"NODE_2294_length_11343_cov_7.495393-2",0.0724340678588107,-0.505558627712423,0.492697253425894,-1.02610401051985,0.304842560096953,0.9298396979311
"NODE_52_length_43463_cov_8.435404-40",0.0707114640284845,-0.504797333261531,0.493030243270879,-1.02386687257274,0.305898159148279,0.9298396979311
