"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_11199_length_5337_cov_13.390004-2",2.86613172692386,-1.99644867140662,0.775467813838004,-2.57450874914543,0.0100382547688932,0.999977059878159
"NODE_118_length_34851_cov_14.018623-33",2.49022973817454,-1.8451326964985,0.752055896789984,-2.45345153781004,0.0141492603500384,0.999977059878159
"NODE_361_length_23038_cov_14.702432-1",2.22405512224512,-1.79958519265804,0.763260351017569,-2.35776061242911,0.0183855449120714,0.999977059878159
"NODE_123014_length_1081_cov_16.515595-2",1.46682493530313,-1.80603522590619,0.78481680170827,-2.30121886021692,0.021379263362703,0.999977059878159
"NODE_10_length_72412_cov_13.933082-11",1.78692611659591,-1.74059481055059,0.767241973556806,-2.26863867012057,0.02329030798964,0.999977059878159
"NODE_361_length_23038_cov_14.702432-3",1.74034018094484,-1.66432683626973,0.770970362962995,-2.15874295073209,0.0308701146254012,0.999977059878159
"NODE_12899_length_4946_cov_14.198732-3",1.30330659846353,-1.6406690549466,0.771316823506473,-2.12710134791042,0.0334116633129308,0.999977059878159
"NODE_1416_length_13894_cov_13.805405-12",2.64257532158671,-1.60912245609978,0.760425257721228,-2.11608233650977,0.0343378054851129,0.999977059878159
"NODE_169_length_30749_cov_13.489379-14",2.07483800609195,-1.56979903624967,0.761334129914664,-2.06190550846003,0.0392167330031051,0.999977059878159
"NODE_144_length_32639_cov_13.643752-15",13.1324792821315,-1.57413401837599,0.763454495091106,-2.06185703076925,0.0392213494953885,0.999977059878159
"NODE_560_length_19536_cov_14.085109-5",17.7190785480697,-1.54268793416523,0.752042295452497,-2.05133134598103,0.0402346898629567,0.999977059878159
"NODE_90_length_38213_cov_13.768463-17",3.25500342017938,-1.49687350346235,0.744523376256581,-2.0105124314411,0.0443769818300569,0.999977059878159
"NODE_7877_length_6385_cov_14.821327-4",1.35388455733104,-1.49989450107224,0.752029567415327,-1.99446214093319,0.0461015733784765,0.999977059878159
"NODE_169_length_30749_cov_13.489379-11",2.09598607544541,-1.5080206481225,0.762292873946511,-1.97826937606702,0.0478983259248346,0.999977059878159
"NODE_130_length_33776_cov_13.447555-15",10.262754839627,-1.52129567792734,0.778894223709951,-1.9531479777591,0.0508020632992725,0.999977059878159
"NODE_2789_length_10498_cov_45.974911-10",1.48894755713391,-1.48785908004362,0.761810469647495,-1.95305675010227,0.0508128710369817,0.999977059878159
"NODE_18158_length_4035_cov_14.358794-5",1.07813661658151,-1.50940722617916,0.782423288020355,-1.92914404426558,0.0537129824584951,0.999977059878159
"NODE_71_length_40795_cov_13.653461-34",1.00826063643408,-1.50464400216027,0.784670787070867,-1.91754813222629,0.0551683322938399,0.999977059878159
"NODE_23_length_53543_cov_13.878141-14",3.18041673423589,-1.42286033848419,0.744043732828408,-1.91233428319505,0.0558333311983318,0.999977059878159
"NODE_23882_length_3420_cov_19.215156-1",6.50595951988283,-1.31162047185021,0.700425794457965,-1.87260446749427,0.0611230239716447,0.999977059878159
"NODE_148_length_32524_cov_14.072993-4",3.17471239038467,-1.44161569559449,0.770431844477857,-1.87117874984973,0.0613203091599493,0.999977059878159
"NODE_25879_length_3256_cov_33.176820-3",1.97569645930471,-1.30171064843399,0.699031207121575,-1.86216385645225,0.0625799973406448,0.999977059878159
"NODE_73564_length_1591_cov_16.666016-1",3.93916573812138,-1.40650918435125,0.767124565779082,-1.83348213197007,0.0667309033862089,0.999977059878159
"NODE_180_length_30041_cov_13.740879-23",3.42598370890834,-1.40431408409322,0.768904037747738,-1.82638406764869,0.0677924300480641,0.999977059878159
"NODE_144_length_32639_cov_13.643752-18",1.41293902730342,-1.42276614336011,0.779126604056604,-1.82610391681189,0.0678346103467566,0.999977059878159
"NODE_90_length_38213_cov_13.768463-16",4.823555731523,-1.32481965780087,0.726087938348886,-1.82459945666291,0.0680614954837481,0.999977059878159
"NODE_6663_length_6961_cov_15.390385-4",1.28690610888321,-1.36258054008591,0.747660999270245,-1.82245769328059,0.0683855674596772,0.999977059878159
"NODE_1733_length_12702_cov_13.148177-13",1.39039596311435,-1.40203617239917,0.775074942921106,-1.8089040101273,0.0704659173141168,0.999977059878159
"NODE_148_length_32524_cov_14.072993-29",9.15340286205182,-1.35342386703774,0.753985382619277,-1.79502666528636,0.0726494515688886,0.999977059878159
"NODE_343_length_23581_cov_14.456134-21",0.94219398986601,-1.39762170021715,0.785210740767828,-1.77993196941049,0.0750870949548384,0.999977059878159
"NODE_110_length_35892_cov_14.220387-14",0.691889056578644,-1.4086170453583,0.792033206854768,-1.77848230751844,0.0753246752013663,0.999977059878159
"NODE_71_length_40795_cov_13.653461-10",1.80385391704842,-1.39777440119952,0.786661153787336,-1.77684431787437,0.075593857921032,0.999977059878159
"NODE_1808_length_12477_cov_12.935357-6",4.37929025493629,-1.27388941494098,0.719893487561277,-1.76955263098216,0.0768016958190077,0.999977059878159
"NODE_227_length_27689_cov_13.887349-26",1.18730448997028,-1.32101933498094,0.75048749650616,-1.76021498176965,0.0783713627259154,0.999977059878159
"NODE_10_length_72412_cov_13.933082-68",42.9464650208346,-1.30675151983081,0.745093897395691,-1.75380784139861,0.0794634389951138,0.999977059878159
"NODE_476_length_20652_cov_13.712434-13",8.87499167152306,-1.28108407303338,0.732722626925469,-1.74838885269431,0.0803967168422529,0.999977059878159
"NODE_386_length_22437_cov_13.568314-21",13.828401126773,-1.34716079085942,0.772880236296779,-1.74303951322948,0.0813267129975766,0.999977059878159
"NODE_148_length_32524_cov_14.072993-31",0.572461783533717,-1.36569611820398,0.789564189181876,-1.72968345945259,0.0836868455092849,0.999977059878159
"NODE_361_length_23038_cov_14.702432-14",1.28607919208468,-1.2799171028998,0.743236045564216,-1.72208696084993,0.0850537667708139,0.999977059878159
"NODE_17478_length_4131_cov_14.339303-4",2.03235457375252,-1.29097449798975,0.753012878197549,-1.71441224362576,0.0864530414836919,0.999977059878159
"NODE_2912_length_10260_cov_13.547085-3",1.00705035109757,-1.32778130102572,0.774532127136008,-1.71430113032944,0.0864734356642124,0.999977059878159
"NODE_268_length_25925_cov_13.843332-15",2.31744605132809,-1.33704163861324,0.780471301950016,-1.71312082234495,0.0866903140563985,0.999977059878159
"NODE_99_length_37556_cov_14.214234-33",6.43856355950746,-1.28775853281277,0.762273440017858,-1.68936560715352,0.0911493876933702,0.999977059878159
"NODE_93811_length_1329_cov_13.940345-3",0.920706241456317,-1.33266585726376,0.792381845811594,-1.68184804372794,0.0925983097503181,0.999977059878159
"NODE_10_length_72412_cov_13.933082-70",68.7068033506384,-1.27504734286753,0.759510521242107,-1.67877508896429,0.0931958853044548,0.999977059878159
"NODE_255_length_26338_cov_14.130084-16",0.9839033530579,-1.32317623326681,0.788189118571468,-1.67875475833131,0.093199849137807,0.999977059878159
"NODE_7877_length_6385_cov_14.821327-5",1.33699577652387,-1.3095316789469,0.782935237137648,-1.67259259365366,0.0944075259184977,0.999977059878159
"NODE_714_length_17941_cov_14.306832-7",2.93641241035656,-1.28435569265258,0.771046867357287,-1.66572973320627,0.0957672570562709,0.999977059878159
"NODE_568_length_19444_cov_14.942803-2",2.24769629355536,-1.25971608828578,0.759044066928048,-1.65960863561456,0.0969932099561578,0.999977059878159
"NODE_697_length_18077_cov_13.665409-6",2.72587809548726,-1.26404419360172,0.762195236563742,-1.65842573262528,0.0972315662524695,0.999977059878159
"NODE_10_length_72412_cov_13.933082-67",20.695375236416,-1.24341123567985,0.750606496459854,-1.6565420650424,0.0976120937591546,0.999977059878159
"NODE_130_length_33776_cov_13.447555-17",2.00233957263759,-1.27803952909962,0.772982144868084,-1.65338816373013,0.0982518902101703,0.999977059878159
"NODE_343_length_23581_cov_14.456134-20",1.29081583760567,-1.2728092555256,0.771714030335029,-1.64932760775779,0.0990805366569648,0.999977059878159
"NODE_2967_length_10187_cov_13.733518-7",3.70066853097705,-1.21165311643568,0.735079094144176,-1.64833026280846,0.0992849178793446,0.999977059878159
"NODE_1952_length_12051_cov_14.130960-9",1.86005070931682,-1.29435750300977,0.785735295935903,-1.64732004493706,0.099492279898853,0.999977059878159
"NODE_43415_length_2310_cov_40.554767-1",91.5959390719115,-1.26584895716318,0.770415423577705,-1.6430732283172,0.100367783175158,0.999977059878159
"NODE_124_length_34316_cov_14.140480-12",35.7487249564223,-1.25135807661018,0.761781630248282,-1.64267294841742,0.100450618675557,0.999977059878159
"NODE_7877_length_6385_cov_14.821327-3",3.24787568860267,-1.2313547715925,0.752824264037015,-1.63564703001118,0.101913481453134,0.999977059878159
"NODE_163_length_31097_cov_13.716288-25",0.901587631187732,-1.25939965368582,0.777594995361982,-1.61960874388029,0.105316350116177,0.999977059878159
"NODE_255_length_26338_cov_14.130084-4",1.31180215239875,-1.25610675380503,0.777502592625594,-1.61556600031803,0.106188179840953,0.999977059878159
"NODE_2614_length_10772_cov_13.362228-2",1.12267042727754,-1.24433099563706,0.77163809249846,-1.61258368104675,0.106834986227896,0.999977059878159
"NODE_6_length_89227_cov_13.864139-36",5.18681299706397,-1.23301737846584,0.765950645295057,-1.6097869830645,0.107444367898631,0.999977059878159
"NODE_17606_length_4114_cov_14.502340-6",4.00185802896269,-1.14892109629576,0.714080034805489,-1.60895283482995,0.107626655208383,0.999977059878159
"NODE_1108_length_15242_cov_13.852505-7",1.69029953721001,-1.22814268844316,0.764272978765941,-1.60694244408093,0.108066994476369,0.999977059878159
"NODE_697_length_18077_cov_13.665409-11",1.23630937967204,-1.26299631381916,0.791378951921876,-1.59594377731674,0.110501346416566,0.999977059878159
"NODE_93811_length_1329_cov_13.940345-1",1.29793348824601,-1.23871763139199,0.777946959985538,-1.59229059962523,0.111319424155391,0.999977059878159
"NODE_1108_length_15242_cov_13.852505-3",0.973111059907936,-1.25373959387448,0.791156655801857,-1.58469196293847,0.11303633882728,0.999977059878159
"NODE_624_length_18955_cov_13.917937-25",0.804100284499745,-1.2384187477271,0.792250958815462,-1.56316471939488,0.11801385613382,0.999977059878159
"NODE_75_length_40379_cov_14.616234-31",2.24162051682838,-1.16633290403359,0.749784162458023,-1.55555820252323,0.119813184343992,0.999977059878159
"NODE_90_length_38213_cov_13.768463-2",2.59046292783118,-1.14486621721908,0.73780830370115,-1.55171229637287,0.120731079154417,0.999977059878159
"NODE_700_length_18031_cov_14.119103-3",1.07944655692772,-1.20513515677189,0.779546370173216,-1.54594415788775,0.122118054765079,0.999977059878159
"NODE_343_length_23581_cov_14.456134-5",6.68456971972735,-1.19300889975134,0.774229831755512,-1.54089761311092,0.123341706857696,0.999977059878159
"NODE_697_length_18077_cov_13.665409-18",3.66867607291472,-1.14622659575021,0.744445816751735,-1.53970452913764,0.123632392333029,0.999977059878159
"NODE_21595_length_3637_cov_12.617532-2",0.818144013789679,-1.20464779875607,0.782424613127313,-1.5396343347906,0.123649511272962,0.999977059878159
"NODE_1179_length_14834_cov_13.915353-6",1.51495788278059,-1.16527453534309,0.759427050476734,-1.53441273208741,0.124928147305262,0.999977059878159
"NODE_714_length_17941_cov_14.306832-13",2.28419301377725,-1.1458948041111,0.747368365045795,-1.53323964152655,0.125216820256127,0.999977059878159
"NODE_73_length_40690_cov_13.383610-32",9.15726725237279,-1.20099265483195,0.784695795332371,-1.53052005882515,0.125888052272081,0.999977059878159
"NODE_3993_length_8876_cov_13.576919-2",2.01427390636252,-1.20164473069496,0.785125884086744,-1.53051218288734,0.125890000229046,0.999977059878159
"NODE_2614_length_10772_cov_13.362228-7",0.998940563556657,-1.19408325782603,0.782953626956901,-1.52510087023553,0.127233940206763,0.999977059878159
"NODE_134_length_33438_cov_13.745739-21",2.73719961499479,-1.16172121643269,0.762456551015269,-1.52365562980051,0.127594758762292,0.999977059878159
"NODE_134_length_33438_cov_13.745739-22",7.94262442922389,-1.1439047578036,0.752648435377176,-1.51983941510534,0.128551340248699,0.999977059878159
