K10111	ko02010
K10112	ko02010
K19267	ko01110;ko00130
K19266	ko01120;ko00620
K19269	ko01100;ko01110;ko01130;ko01200;ko00630
K19268	ko01100;ko01120;ko01200;ko00630;ko00660
K05849	ko04022;ko04020;ko04371;ko04974;ko04740
K01652	ko01100;ko01110;ko01130;ko01230;ko00650;ko01210;ko00770;ko00290;ko00660
K04646	ko05016;ko04142;ko04721;ko05100;ko04961;ko04144
K05845	ko02010
K05846	ko02010
K05847	ko02010
K00508	ko01100;ko00591
K01657	ko01100;ko01110;ko01130;ko01230;ko02024;ko00400;ko02025;ko00405
K04085	ko04122
K00500	ko01100;ko01230;ko00360;ko00400;ko00790
K01656	ko01100;ko01110;ko01130;ko01230;ko00400
K15544	ko03015;ko03015
K00507	ko01212;ko04152;ko03320;ko01040;ko04212
K00505	ko01100;ko01110;ko00350;ko00950;ko04916;ko00965
K00988	ko01100;ko01120;ko00230;ko00920
K01101	ko01120;ko00627
K04460	ko04010
K00983	ko01100;ko00520
K00981	ko01100;ko01110;ko00564;ko04070
K05592	ko03018
K04486	ko01100;ko01110;ko01230;ko00340
K05602	ko01100;ko01110;ko01230;ko00340
K15893	ko01100;ko01120;ko01110;ko01130;ko01200;ko00260;ko00630;ko01100;ko01110;ko01120;ko01130;ko01200;ko00260;ko00630
K14549	ko03008
K15891	ko01130;ko00900;ko00909;ko01130;ko00900;ko00909
K05606	ko01100;ko01120;ko01200;ko00630;ko00280;ko00640;ko00720
K05607	ko01100;ko00280
K15894	ko00520;ko00520
K02925	ko03010
K02929	ko03010
K14546	ko03008
K19312	ko01100;ko01120;ko01110;ko01130;ko01200;ko00630;ko00280;ko00640
K00216	ko01110;ko01130;ko01053
K00214	ko01100;ko01110;ko00860
K00215	ko01100;ko01110;ko01120;ko01130;ko01230;ko00261;ko00300
K01563	ko01100;ko01120;ko00361;ko00625
K01561	ko01100;ko01120;ko00361;ko00625
K01560	ko01100;ko01120;ko00361;ko00625
K00218	ko01100;ko01110;ko00860
K02038	ko02010
K04517	ko01100;ko01110;ko01130;ko01230;ko00400;ko00401
K04516	ko01100;ko01110;ko01130;ko01230;ko00400
K01746	ko01100;ko00670
K01745	ko01100;ko00340
K01744	ko01100;ko00250
K02031	ko02024
K02032	ko02024
K14306	ko03013
K02034	ko02024
K04518	ko01100;ko01110;ko01130;ko01230;ko00400
K02036	ko02010
K02037	ko02010
K01585	ko01100;ko00330
K10118	ko02010
K01586	ko01100;ko01110;ko01120;ko01130;ko01230;ko00300
K01580	ko01100;ko01110;ko01120;ko00250;ko00650;ko02024;ko00410;ko04727;ko04940;ko00430
K01583	ko01100;ko00330
K14308	ko03013
K01589	ko01100;ko01110;ko01130;ko00230
K01588	ko01100;ko01110;ko01130;ko00230
K18138	ko01501;ko01503
K18139	ko01501;ko02024
K14439	ko04550
K02728	ko03050
K02729	ko03050
K14941	ko01120;ko00680
K02724	ko01100;ko00195
K02726	ko03050
K02727	ko03050
K02720	ko01100;ko00195
K02722	ko01100;ko00195
K02723	ko01100;ko00195
K02456	ko05111;ko03070
K08483	ko02060
K02106	ko02020
K07953	ko04141;ko05134
K02452	ko05111;ko03070
K08139	ko04113
K03456	ko04111;ko04114;ko04113;ko05160;ko05165;ko04350;ko04151;ko03015;ko04728;ko04390;ko04152;ko04730;ko04071;ko04261;ko04530;ko05142;ko04391
K02108	ko01100;ko00195;ko00190
K02109	ko01100;ko00195;ko00190
K02458	ko05111;ko03070
K02459	ko05111;ko03070
K01858	ko01100;ko01130;ko00521;ko00562
K12870	ko03040
K12873	ko03040
K12872	ko03040
K12874	ko03040
K01638	ko01100;ko01110;ko01120;ko01200;ko00630;ko00620
K01637	ko01100;ko01110;ko01120;ko01200;ko00630
K01635	ko01100;ko02024;ko00052
K01634	ko01100;ko00600;ko04071
K01633	ko01100;ko00790
