"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_118_length_34851_cov_14.018623-33",2.54097351068286,-2.04404280777417,0.785045183346642,-2.60372632191746,0.00922163604381016,0.996348539556881
"NODE_11199_length_5337_cov_13.390004-2",2.80855624454506,-2.10278679645284,0.813800696578515,-2.5839088185764,0.00976876165555193,0.996348539556881
"NODE_361_length_23038_cov_14.702432-1",2.20553362110126,-1.9808562179554,0.799303976786457,-2.47822640132392,0.0132037332906753,0.996348539556881
"NODE_123014_length_1081_cov_16.515595-2",1.54799063767308,-1.98963434119561,0.824647744402511,-2.41270815896935,0.015834492719544,0.996348539556881
"NODE_10_length_72412_cov_13.933082-11",1.83776706797411,-1.88363156367674,0.803828996279364,-2.34332373228062,0.0191127910773278,0.996348539556881
"NODE_361_length_23038_cov_14.702432-3",1.72596544233842,-1.78479282656617,0.809305864032583,-2.20533781588208,0.027430398094988,0.996348539556881
"NODE_90_length_38213_cov_13.768463-17",3.30459267940639,-1.71286056365224,0.777235846274472,-2.20378482523998,0.027539480272973,0.996348539556881
"NODE_1416_length_13894_cov_13.805405-12",2.68439571693647,-1.74266555556257,0.798749487846442,-2.181742313552,0.02912855615767,0.996348539556881
"NODE_12899_length_4946_cov_14.198732-3",1.24079270404177,-1.74627250970816,0.8085336438556,-2.15980191174337,0.0307880075961701,0.996348539556881
"NODE_18158_length_4035_cov_14.358794-5",1.17951993168692,-1.75193518151633,0.824447464628561,-2.12498098020792,0.0335881999778997,0.996348539556881
"NODE_169_length_30749_cov_13.489379-14",2.08756809991372,-1.68533003697741,0.80011878131009,-2.10634980248545,0.0351739782275804,0.996348539556881
"NODE_2789_length_10498_cov_45.974911-10",1.53221711899552,-1.66465537741055,0.80047090253759,-2.07959511349306,0.0375626855729503,0.996348539556881
"NODE_169_length_30749_cov_13.489379-11",2.14953939863581,-1.64796293140208,0.80116318599923,-2.0569628762294,0.0396897969902978,0.996348539556881
"NODE_7877_length_6385_cov_14.821327-4",1.29222543266381,-1.5976631442456,0.787574499938049,-2.02858668528663,0.0425004058530115,0.996348539556881
"NODE_560_length_19536_cov_14.085109-5",18.1606930879399,-1.58749598259529,0.789114926310816,-2.01174243404187,0.0442470949878639,0.996348539556881
"NODE_144_length_32639_cov_13.643752-15",13.4057259656597,-1.61250840986533,0.802955340648644,-2.00821680638267,0.0446202578468965,0.996348539556881
"NODE_25879_length_3256_cov_33.176820-3",1.96870904296287,-1.42700741663401,0.729832086952484,-1.9552544237849,0.0505530477203742,0.996348539556881
"NODE_227_length_27689_cov_13.887349-26",1.23171255875257,-1.53886887907729,0.788620896876125,-1.95134174756596,0.051016406015919,0.996348539556881
"NODE_71_length_40795_cov_13.653461-34",0.979440533061229,-1.60327811154892,0.828186744437966,-1.93588960740606,0.0528812228673027,0.996348539556881
"NODE_23_length_53543_cov_13.878141-14",3.2498726940261,-1.49445767281576,0.775182098411912,-1.92787949551131,0.0538701167228344,0.996348539556881
"NODE_144_length_32639_cov_13.643752-18",1.44500048319831,-1.57600744684894,0.818884512007486,-1.9245784035961,0.0542821233650345,0.996348539556881
"NODE_130_length_33776_cov_13.447555-15",10.4421268761809,-1.57529147332472,0.818766155812113,-1.92398215551817,0.0543568202364181,0.996348539556881
"NODE_23882_length_3420_cov_19.215156-1",6.55684871785778,-1.39953263885236,0.731549950141963,-1.91310605459104,0.0557344768163671,0.996348539556881
"NODE_2912_length_10260_cov_13.547085-3",0.993721463354589,-1.53478768965792,0.810728539126815,-1.89309690677836,0.058344983461026,0.996348539556881
"NODE_1108_length_15242_cov_13.852505-3",1.10441220867046,-1.56350077057687,0.834282796457953,-1.87406569716516,0.0609213705870234,0.996348539556881
"NODE_148_length_32524_cov_14.072993-31",0.57329934825016,-1.5598644391901,0.8326032533974,-1.87347867405651,0.0610023149278384,0.996348539556881
"NODE_110_length_35892_cov_14.220387-14",0.674153797610081,-1.5634387900973,0.835851314525289,-1.87047476378647,0.0614179182750434,0.996348539556881
"NODE_73564_length_1591_cov_16.666016-1",4.08050003746773,-1.50929557859647,0.807452442577283,-1.86920677802274,0.0615940516407731,0.996348539556881
"NODE_6663_length_6961_cov_15.390385-4",1.21651261462548,-1.45917706873612,0.784437254747277,-1.86015778815378,0.0628632052450041,0.996348539556881
"NODE_90_length_38213_cov_13.768463-16",4.90646937900369,-1.40390807097073,0.759362340553749,-1.84879865117746,0.0644868922086412,0.996348539556881
"NODE_343_length_23581_cov_14.456134-21",0.883219784923018,-1.5272297030414,0.827804843491606,-1.84491515729684,0.0650498814182646,0.996348539556881
"NODE_17478_length_4131_cov_14.339303-4",2.05056008246824,-1.45005512446268,0.789555828217533,-1.83654540013498,0.0662770339982731,0.996348539556881
"NODE_148_length_32524_cov_14.072993-4",3.23954704314007,-1.47375415480361,0.808266152003062,-1.82335255676775,0.0682500109829663,0.996348539556881
"NODE_148_length_32524_cov_14.072993-29",9.22455118647134,-1.43408554186067,0.789628073671559,-1.81615318613554,0.0693468769503052,0.996348539556881
"NODE_255_length_26338_cov_14.130084-16",1.04393245795589,-1.50462064426721,0.83160264846198,-1.80930237181177,0.070404040729399,0.996348539556881
"NODE_1808_length_12477_cov_12.935357-6",4.46346018270759,-1.34612834360068,0.746000143788364,-1.80446123879377,0.0711590303463554,0.996348539556881
"NODE_714_length_17941_cov_14.306832-7",2.78362467041806,-1.43685289073188,0.807280004460996,-1.77986929292426,0.0750973541241877,0.996348539556881
