"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_3600_length_9321_cov_7.728038-2",26.9833810859595,1.04195684273138,0.243750197258928,4.27469128004251,1.91402321570073e-05,0.188703548835934
"NODE_6183_length_7220_cov_6.602094-3",2.05686917497291,1.30979637661595,0.363598691334049,3.60231323113484,0.00031539799649734,0.999826740241007
"NODE_5303_length_7780_cov_8.118447-6",3.62908959800679,1.23748072153394,0.344502529122308,3.59208022271035,0.000328048822244111,0.999826740241007
"NODE_1189_length_14794_cov_8.478730-5",5.27845893356051,1.09270698648623,0.323881425060716,3.37378713917103,0.000741416756236107,0.999826740241007
"NODE_29960_length_2957_cov_7.094762-2",2.72194805250879,1.18080189736891,0.359325494054226,3.28616231496981,0.00101562467462643,0.999826740241007
"NODE_3446_length_9526_cov_7.831486-3",10.963880463708,0.914764092508714,0.278652353331148,3.28281488231904,0.00102776132095756,0.999826740241007
"NODE_23869_length_3421_cov_8.066251-2",5.17259637783854,1.05294343914944,0.322887229743703,3.26102534307484,0.00111010118009489,0.999826740241007
"NODE_15257_length_4480_cov_7.301695-1",30.9195927474248,-0.663071717548685,0.2060655450848,-3.21777091495727,0.00129190956980677,0.999826740241007
"NODE_46097_length_2218_cov_4.115118-1",1.11454813044656,-1.09367216908902,0.346865608601295,-3.15301414141102,0.00161593978431407,0.999826740241007
"NODE_39273_length_2471_cov_5.234685-2",10.517954633309,-0.893407318378601,0.283411133096527,-3.15233670822069,0.00161969384681437,0.999826740241007
"NODE_5627_length_7564_cov_7.353842-1",2.03449353047756,1.13610207201018,0.364566494578135,3.11630961403856,0.00183129888146736,0.999826740241007
"NODE_21371_length_3660_cov_6.722885-2",3.52380416458195,1.06669470854534,0.347688513944468,3.0679607342902,0.00215524935486725,0.999826740241007
"NODE_419_length_21516_cov_7.252085-13",19.8012002833048,-0.68458115406077,0.22439370191889,-3.05080378017125,0.00228229674121059,0.999826740241007
"NODE_43161_length_2320_cov_5.377483-1",18.0315900432344,-0.719519124329333,0.237456492900802,-3.03010928671432,0.00244465262119192,0.999826740241007
"NODE_1029_length_15619_cov_6.996338-9",4.12827769585493,1.02242349231834,0.339611750226619,3.0105657169874,0.00260761513399278,0.999826740241007
"NODE_5430_length_7692_cov_7.762734-7",1.90517125863905,1.09175716117852,0.364528723892045,2.9949825339466,0.0027446055731141,0.999826740241007
"NODE_19605_length_3856_cov_7.095501-1",1.86826600428299,1.08167952777718,0.363923266443476,2.97227362885628,0.00295603105127964,0.999826740241007
"NODE_7975_length_6351_cov_7.984911-5",42.6902357381922,0.527873053503441,0.178271697113421,2.96105922617428,0.00306582977049598,0.999826740241007
"NODE_6419_length_7095_cov_9.139631-5",18.5145246259272,0.6735311975228,0.227590490536333,2.95939955986551,0.00308239162866599,0.999826740241007
"NODE_42577_length_2340_cov_10.034136-1",14.4106802837162,0.831316441930654,0.281230560813482,2.95599610343202,0.00311661028312969,0.999826740241007
