Genomic bins	9AM-1	9AM-3	9AM-2	9AM-5	9AM-4	ALL-DNA	9AM-6	9PM-6	9PM-4	9PM-5	9PM-2	9PM-3	9PM-1
T17_Euhalothece_44_14	0.00876059432234	0.462417817771	19.4017723721	0.0968074620693	5.4619103332	7.17170693391	0.033529649301	23.3606391705	2.62849899886	27.9024766896	9.94610689703	0.126598788224	0.647301230552
T17_Haloarculaceae_65_9	1.80224053262	2.9463713177	5.88232269728	5.22059217361	4.78806182632	4.71370552332	4.66457015491	5.63309241726	7.14243147686	5.64469322634	6.18410280975	2.52928004657	5.51980549159
T17_Halomicrobium_63_25	12.1651832194	14.4144203771	6.712305647	20.4427333166	3.24742081499	13.3733702932	6.30798993279	8.99974757306	6.72111951849	4.14875111426	20.0559651143	41.1389665282	15.5273397077
T17_Natronoarchaeum_66_4	0.967204960267	4.81596886127	3.49329392593	3.03409665204	3.12871545593	2.66875670266	1.17723417785	4.54266094689	1.42190423032	2.78120791473	2.39681819851	3.10808043076	0.725423427284
T17_Halovenus_63_8	2.21056314293	1.6930556576	13.4911498482	2.5008814183	0.814595625714	4.65501026014	7.2841540235	0.97191936082	14.7720829541	0.870228024788	2.29857653713	5.26140383034	3.38431183321
T17_Haloarculaceae_67_15	2.60493977582	6.00329524448	13.7897397411	8.26324795517	3.68812817882	7.69336949017	7.79868447674	7.42427826648	3.39967029502	6.87819217701	16.9605016408	3.84357913595	13.0245102529
T17_Halosimplex_69_9	8.76429511261	3.38227475235	5.45995467705	5.6002103229	4.32731243308	5.44153248787	7.74081017914	4.25490015678	7.26321602929	3.84456257478	4.03296705388	6.68625169813	3.63833666719
T17_Haloarculaceae_67_4	1.49583300725	2.68867356117	1.70685533204	6.21663092458	3.77497578068	3.06927155738	3.77801259548	3.13971149214	2.60207256461	1.78978249509	3.5833904801	1.07770129391	5.93586677458
T17_Dolichomastix_55_7	3.60524120358	4.4352664876	3.00433259961	6.11302466754	3.78759744755	4.51824267161	5.78647686411	4.47132122568	4.63481879202	6.81787417442	3.08183723358	4.43059886795	4.74723565003
T17_Dolichomastix_42_105	42.2000110934	64.0395741527	44.2076602969	59.6944370524	49.9361960267	61.0080849667	77.2068548093	78.7185984182	64.5495719509	84.5544518636	43.7810752426	76.704792995	50.7315164306
T17_Nanohaloarchaea_62_2	2.0126333653	0.126251672694	1.68435102559	1.05916953432	1.56455578913	1.75804704782	0.674269954535	0.836401530882	1.41196813305	0.671528431296	5.29892660851	2.14574521821	3.89959658543
T17_Ectothiorhodospiraceae_63_2	0.9134143467	3.56217334255	6.34518090728	0.51584789298	1.8061076318	2.02241962775	0.7054918878	2.10429988224	3.17701836619	1.17780560632	0.998148105727	0.727913262225	1.19434136153
T17_Haloarchaeobius_69_4	1.47240187355	4.62825280067	4.0836922372	3.52929902968	2.57485771397	3.16031752643	4.77724832361	4.80422377261	2.49001144705	2.48796593268	2.75889060246	2.05320607664	2.14245381409
T17_Halovenus_67_9	6.25200781229	5.48260679486	13.0777919772	3.41344625914	5.27070877622	6.31165799314	4.53530628511	3.24087835071	6.4730880011	4.58389004138	2.82567371286	5.12006086825	13.235852347
T17_Halococcus_67_10	8.30902865444	8.32194778247	4.74523084764	3.81396257636	6.52830921689	6.66375793395	5.73475354192	5.51960496351	7.31833890824	7.17360568008	4.55523912217	12.0642477112	4.08114711903
T17_Halosimplex_67_13	4.67398983146	6.3480436616	10.6392183662	5.14329839534	6.24156640403	6.78334217298	5.71952302536	8.47650604254	6.48813454592	7.65490685721	8.24100821585	3.74098373953	8.01584906078
T17_Haloplanus_67_12	4.87730255039	5.18236979703	6.97666417833	7.50805064217	6.53945579148	6.51013028897	6.50957973338	5.64438500657	9.76633142512	4.56749171553	7.45887676539	5.95369730713	7.76314794155
T17_Haloarculaceae_67_6	5.14726127563	4.32507429336	1.53180875892	3.29692669053	8.57971331296	4.99110129896	3.89460944414	5.2265774533	2.4730483728	3.73340522902	2.8150559973	4.34214047082	13.5474864735
T17_Euzebyales_72_6	6.85006445888	2.80174984644	3.32574783985	4.7985666206	4.20261570373	4.09713366641	3.81750257084	4.05172128963	6.11673096151	4.02081424324	1.43105185034	5.78174806587	1.89258434174
