Genomic bins	9AM-1	ALL-DNA	9AM-2	9AM-5	9AM-4	9AM-6	9PM-6	9AM-3	9PM-4	9PM-5	9PM-2	9PM-3	9PM-1
bin.9	2.14396121899	3.75347471293	5.74129092034	2.7227142629	5.31733549594	3.35542729697	2.60624263378	5.67628789461	3.76396092436	2.56364061879	3.11889030985	2.53624758958	4.09014980751
bin.20	7.19473412901	4.81627486915	0.965115074511	5.31907588422	2.21130757842	5.88118951541	5.53295427689	3.90574909491	4.11745382335	5.33599292679	3.0160726825	10.9940396027	3.39250306751
bin.36	2.38014396994	2.90719746507	2.79514993053	1.65001849526	2.45001867789	4.83578119529	2.25662139304	2.76248864085	6.01436935276	1.98814102864	1.3494005755	2.6666282819	3.62687326423
bin.4	0.703895597831	4.06906846542	2.80517979685	5.26543764196	4.88279559244	4.22685292492	5.50546072847	1.32263974235	3.2461595672	5.30421394104	3.05096671647	5.30930825499	8.41697503465
bin.25	5.13051894098	5.75731466892	7.43604736346	2.05099158641	15.9424526804	9.63900208261	3.95976142907	2.86658953059	0.799169150112	1.99672345629	3.59027886389	4.76027594548	7.04285729947
bin.22	12.1412920367	13.3423369949	6.69808473152	20.38657016	3.2374520214	6.27973814461	8.96972546666	14.3736944248	6.70544601429	4.1349178667	20.0063200803	40.9850008217	15.4867832514
bin.10	0.967350817359	2.67094199476	3.49797563248	3.03553103517	3.13153920848	1.17494495876	4.54942403648	4.81539559601	1.42094651125	2.78414767463	2.39944978452	3.10620584563	0.722122180199
bin.27	3.28165912602	3.82642116036	2.41530629981	10.6948810272	2.33464480157	12.621770926	1.23563769599	2.18453238794	0.63407287529	1.20325016761	3.43201978545	4.39001463902	2.16359751597
bin.15	6.97063340363	4.15815099653	3.36934208067	4.85240669731	4.26887458121	3.86810470902	4.1067515407	2.8401849444	6.21594034652	4.0779227339	1.44888039044	5.85681347005	1.91595541293
bin.17	5.14975913272	4.99206473457	1.53134520147	3.292062102	8.58539201973	3.88714015681	5.22067689143	4.32188335533	2.47230389534	3.73056072089	2.81372959221	4.33369132635	13.5623339655
bin.3	4.63307186372	7.3832087683	3.94702023921	7.87448734984	6.81607929085	4.54250341547	8.48463685113	5.06429804788	6.26530908784	4.06277976507	9.75049365572	20.8275074103	6.35747943389
bin.38	2.60253596788	7.68810669277	13.787642007	8.25286521896	3.6824380609	7.78453757034	7.4145613053	5.99189554469	3.3937179879	6.86872717892	16.9680430349	3.83444597127	13.0111536114
bin.33	3.84104313245	4.29761076579	2.946477195	4.58442298377	6.35209306767	3.94661759901	1.64977741686	6.55720472166	3.14614613025	3.2870669179	8.74331430774	1.86349376868	3.92762686812
bin.2	2.00465919346	1.75058667462	1.67689062575	1.05677211307	1.5571482574	0.671927767654	0.83399803892	0.125346591118	1.40510241924	0.668262205	5.27208186242	2.13417973619	3.88225340988
bin.5	6.63283282028	3.34473815563	1.14564734337	10.4586898807	2.68410875181	4.09434571652	1.25378563866	3.0015771635	2.65066855164	1.56882974373	2.93293385521	2.7244740343	1.85777050329
bin.11	0.383907106037	1.81564831475	3.21601916874	2.65139159456	1.3754775014	2.08463099059	1.09156147787	2.98146341116	1.38872370266	1.11736275041	3.06317364098	0.95376551875	1.28305203563
bin.31	2.20718056081	4.65099700813	13.4852480119	2.49588520257	0.810991138316	7.2688913996	0.968906938102	1.68742056219	14.7631186473	0.864384205446	2.29538570911	5.24477131158	3.37568496352
bin.7	1.49282668001	3.06834896736	1.70366505014	6.21026051471	3.77621444869	3.77456952686	3.13776748941	2.68406271722	2.6024111787	1.78657791066	3.5821373943	1.07347562308	5.93659541647
bin.14	0.909950896832	2.01649312616	6.3300503505	0.514441935092	1.80097162359	0.70248445914	2.09902105729	3.54731171387	3.16705268633	1.17644666241	0.998016040213	0.724559260765	1.19174788194
bin.13	0.906705017033	4.9830623283	1.20748750294	1.90701564179	0.815448898477	1.11216600675	1.14986401624	1.08303063843	1.31742310025	0.88146068315	14.3023741734	32.3560362975	1.28632369888
bin.18	1.74438452758	2.98283423957	2.58798988316	3.06706575311	2.8848174324	2.19360188577	2.34858613288	4.62455960036	3.02382162172	7.37171574222	1.98408624068	0.878098075305	3.29496163641
bin.34	0.524313561332	2.86633838146	0.895815555778	4.17924339164	0.705295468672	0.574753401207	2.52932405181	2.24949494706	13.3860861468	3.79422277202	5.16452752568	1.63964745459	1.92435269362
bin.28	0.794071501926	2.57941367674	1.60477378325	18.3672098717	2.6947016329	0.372708834074	1.26167868707	0.336662504377	1.10793494329	4.87340302876	0.412977182193	2.50549859888	0.311166971221
bin.37	1.47492484101	3.17034076035	4.09958004506	3.53744908724	2.58355804036	4.78505746363	4.81748800962	4.64695633842	2.49849829513	2.49822559946	2.76619177489	2.05193602064	2.14726785214
bin.21	1.56823501356	4.68337150508	6.59310637226	4.72698684227	4.63274241451	4.44198449499	2.30049204133	2.1870352946	4.6276836626	9.95873944163	10.1279327529	1.41830428092	5.10414524676
bin.19	4.33108703982	3.23129765084	3.64953066594	4.11485529944	2.63812371149	3.61405077531	2.64839565903	2.36540903691	2.76016497126	3.54411314874	2.0455092696	3.22371330971	3.78038376719
bin.32	3.00467818864	3.94782070606	1.22532230871	2.04984566275	1.95398153655	3.06485743756	2.19340316914	1.92351686664	1.4910185466	1.61011871078	16.9477881485	10.7197449828	1.75088320547
bin.35	0.681061261155	3.17941597322	9.29779041951	1.38249531553	2.13966871822	0.697293759054	4.04675067138	0.679488775848	3.25763017567	3.46401420356	10.5080260803	0.838875750686	1.99071728536
bin.30	4.67518124791	6.78823174446	10.649775723	5.13893785697	6.24917112918	5.7192517532	8.47683806985	6.34148591772	6.4902412036	7.65918043221	8.24610205703	3.73216166072	8.01787712346
bin.16	3.35605021343	4.140640618	6.40079178697	0.740864461043	2.58214575816	3.30937261372	11.3499269021	2.33059791315	4.22176281683	2.08510456432	6.33537275138	5.80178550302	1.61412355
bin.8	8.32841447504	6.66946746475	4.75672563476	3.80910988934	6.53247950783	5.7265738834	5.5199315812	8.32509798798	7.32558182884	7.1745211067	4.56567491284	12.0476680559	4.0783924206
bin.29	19.4916437606	31.2940366004	19.8675911371	26.0440634192	26.9391168515	40.7323998673	29.6532755453	34.1342823828	56.2367164696	25.8148118384	14.1053408305	57.4997869395	23.6993751737
bin.6	8.84466510529	5.48501301884	5.50179178665	5.63741212106	4.36460527783	7.79357206001	4.28871550842	3.40698063116	7.32488587146	3.86813476026	4.06056569552	6.72201626978	3.66244681166
bin.12	1.83283079231	4.81793723463	6.01067646591	5.33143895817	4.9045402326	4.75977810828	5.74979571988	3.00356126468	7.31340086425	5.77002788418	6.32195566359	2.57162284154	5.63283125749
bin.1	6.23759565551	6.30171469678	13.0691083477	3.40251098416	5.25803745867	4.52082105257	3.22595529036	5.47486113286	6.46322369302	4.56879111988	2.81645353276	5.10267932093	13.2195760824
bin.24	20.6988159018	36.8869575354	41.8761973524	25.4881912463	25.4237838044	66.9072112105	32.8021686697	42.1724488071	57.3084456635	25.9396107466	26.1663539723	23.8044958224	52.1486233452
bin.26	4.88719122571	6.52331162599	6.99227566178	7.51214453738	6.56025698629	6.50774896614	5.64505051384	5.1837077002	9.78602016773	4.57230686846	7.46898477397	5.95606500689	7.77930961533
bin.39	0.834002962941	5.99270693696	17.3910840706	1.32361753504	2.80623678784	3.71956267123	10.1701163105	1.2467491933	4.12747817058	6.11443622996	10.087113414	4.23107335574	10.1067646176
bin.23	0.00869977814782	7.15540027224	19.3617820313	0.0960349431108	5.45043476495	0.0336807119091	23.2955546289	0.460689914346	2.62573317332	27.7811003529	9.92182032054	0.125819452143	0.645865914614
